Resource Access Roads (in km),Low traffic Roads(1 or 0), Low Speed Roads(m/s),Speed Range Roads(m/s),Land use Roads(in Km),Special Functional Roads (in km),Vehicle type Roads(in cm),Other PGMSY Roads (in Km),Special Section Roads (in Km),Weather Roads(in C),Junction Links(in Km),Streets(in Km),Path Holes (in Binary),Road Quality (G/B)
523,1,57,57,596,523,75,4346,6455,29,5643,1526,0,Good
256,1,50,50,265,256,56,55641,34846,51,55463,2542,1,Good
225,0,21,21,255,225,55,54562,691364,25,5623,48555,1,Bad
41,1,52,52,45,41,78,5756,6614,34,763,5545,1,Good
78,0,21,56,56,78,77,5426,6194,39,3866,256,1,Bad
963,0,12,12,58,963,89,54862,61945,25,29741,2625,0,Bad
584,0,10,10,556,584,46,5941,61845,21,65963,2556,0,Bad
9563,1,45,45,895,9563,12,79745,5451,46,67364,2863,1,Good
459,0,20,20,556,459,55,548631,24915,29,5652,5239,1,Good
566,0,18,18,764,566,59,5745,34943,24,5963,846,0,Bad
569,0,19,19,448,569,84,54455,6145,15,65685,354,0,Good
459,0,15,15,2546,459,78,74562,42642,12,6465,2856,0,Bad
258,1,60,60,1236,258,25,1475,30642,21,593,7633,0,Good
586,1,55,55,156,586,19,5456,3650,55,5866,7992,1,Bad
346,1,52,52,5566,346,14,5816,435,26,59669,5164,1,Bad
468,0,10,10,4695,468,13,4665,465,21,7998,6855,0,Bad
586,0,16,16,6976,586,55,6463,6465,29,8469,65465,0,Good 
221,1,58,58,4993,221,57,3469,624,21,89966,6546,1,Good
202,1,48,48,5436,202,59,3466,36514,51,8666,6546,0,Good
123,0,25,25,2872,123,95,8962,519611,21,5836,351,1,Bad
456,0,22,22,8436,456,85,5563,6140,12,2188,856,1,Good
789,1,36,36,5672,789,456,5626,6245,36,3684,564,0,Bad
258,1,37,37,9765,258,145,78596,16526,18,5498,64,1,Bad
147,0,25,25,5865,147,168,263,3145,16,6546,5456,0,Good
369,0,21,21,9259,369,54,4616,10554,18,6756,656,1,Good
741,0,12,12,5846,741,548,4633,5246,29,5455,65,0,Bad
852,0,15,15,6954,852,42,2651,64154,56,596,65,1,Bad
963,0,16,16,6756,963,321,3546,1645,25,5855,68,0,Good
200,1,60,60,5545,200,34,3455,6451,29,595,895,0,Good
0,0,0,0,0,0,0,0,0,0,0,0,0,Bad
